id,title,titleHa,category,lga,year,status,agency,cost,location,indexPage,evidencePage,pdfPage,documentedInReport,verification
95,"Promoting Digital Literacy and Providing Laptops to Select Teachers at Markazu Science Secondary School, Gombe","Inganta Ilimin Dijital da Samar da Kwamfutocin Tafi-da-gidanka ga Wasu Malamai at Markazu Science Secondary School, Gombe",Digital Skills & Literacy,Gombe,,Documented in source index,,,,117,117,147,True,Report documented — independent verification not yet added
96,"Promoting Digital Literacy and Providing Laptops to Select Teachers at KWAINE College of Arabic and Islamic Studies, Yelenguruza","Inganta Ilimin Dijital da Samar da Kwamfutocin Tafi-da-gidanka ga Wasu Malamai at KWAINE College of Arabic and Islamic Studies, Yelenguruza",Digital Skills & Literacy,Statewide / Unspecified,,Documented in source index,,,,118,118,148,True,Report documented — independent verification not yet added
97,"Promoting Digital Literacy and Providing Laptops to Select Teachers at Abubakar Siddiq Islamiyya Community School for Quranic Memorisation, Herwagana B Quarters, Gombe","Inganta Ilimin Dijital da Samar da Kwamfutocin Tafi-da-gidanka ga Wasu Malamai at Abubakar Siddiq Islamiyya Community School for Quranic Memorisation, Herwagana B Quarters, Gombe",Digital Skills & Literacy,Gombe,,Documented in source index,,,,118,118,148,True,Report documented — independent verification not yet added
98,"Promoting Digital Literacy and Providing Laptops to Select Teachers at Government Day Yalanguruza Secondary School, Kwanan Alheri Bread","Inganta Ilimin Dijital da Samar da Kwamfutocin Tafi-da-gidanka ga Wasu Malamai at Government Day Yalanguruza Secondary School, Kwanan Alheri Bread",Digital Skills & Literacy,Statewide / Unspecified,,Documented in source index,,,,118,118,148,True,Report documented — independent verification not yet added
99,Promoting Digital Literacy and Providing Laptops to Select Teachers at Government Comprehensive Day Secondary School Gombe,Inganta Ilimin Dijital da Samar da Kwamfutocin Tafi-da-gidanka ga Wasu Malamai at Government Comprehensive Day Secondary School Gombe,Digital Skills & Literacy,Statewide / Unspecified,,Documented in source index,,,,119,119,149,True,Report documented — independent verification not yet added
100,"Promoting Digital Literacy and Providing Laptops to Select Teachers at Shehu Abubakar Government Day Secondary School, Gombe","Inganta Ilimin Dijital da Samar da Kwamfutocin Tafi-da-gidanka ga Wasu Malamai at Shehu Abubakar Government Day Secondary School, Gombe",Digital Skills & Literacy,Gombe,,Documented in source index,,,,119,119,149,True,Report documented — independent verification not yet added
101,Promoting Digital Literacy and Providing Laptops to Select Teachers at Government Science and Technical Gombe (Vocational),Inganta Ilimin Dijital da Samar da Kwamfutocin Tafi-da-gidanka ga Wasu Malamai at Government Science and Technical Gombe (Vocational),Digital Skills & Literacy,Statewide / Unspecified,,Documented in source index,,,,119,119,149,True,Report documented — independent verification not yet added
102,Promoting Digital Literacy and Providing Laptops to Select Teachers at Hassan Central Comprehensive Day Secondary School Gombe,Inganta Ilimin Dijital da Samar da Kwamfutocin Tafi-da-gidanka ga Wasu Malamai at Hassan Central Comprehensive Day Secondary School Gombe,Digital Skills & Literacy,Statewide / Unspecified,,Documented in source index,,,,119,119,149,True,Report documented — independent verification not yet added
103,Promoting Digital Literacy and Providing Laptops to Select Teachers at Community Secondary School Dukku,Inganta Ilimin Dijital da Samar da Kwamfutocin Tafi-da-gidanka ga Wasu Malamai at Community Secondary School Dukku,Digital Skills & Literacy,Dukku,,Documented in source index,,,,119,119,149,True,Report documented — independent verification not yet added
104,Promoting Digital Literacy and Providing Laptops to Select Teachers at Community Secondary School Bajoga,Inganta Ilimin Dijital da Samar da Kwamfutocin Tafi-da-gidanka ga Wasu Malamai at Community Secondary School Bajoga,Digital Skills & Literacy,Funakaye,,Documented in source index,,,,120,120,150,True,Report documented — independent verification not yet added
105,Promoting Digital Literacy and Providing Laptops to Select Teachers at Government Secondary School M/Sidi,Inganta Ilimin Dijital da Samar da Kwamfutocin Tafi-da-gidanka ga Wasu Malamai at Government Secondary School M/Sidi,Digital Skills & Literacy,Statewide / Unspecified,,Documented in source index,,,,120,120,150,True,Report documented — independent verification not yet added
106,Promoting Digital Literacy and Providing Laptops to Select Teachers at Government Secondary School Kwadon,Inganta Ilimin Dijital da Samar da Kwamfutocin Tafi-da-gidanka ga Wasu Malamai at Government Secondary School Kwadon,Digital Skills & Literacy,Akko,,Documented in source index,,,,120,120,150,True,Report documented — independent verification not yet added
107,Promoting Digital Literacy and Providing Laptops to Select Teachers at Government Secondary School Kunuwal,Inganta Ilimin Dijital da Samar da Kwamfutocin Tafi-da-gidanka ga Wasu Malamai at Government Secondary School Kunuwal,Digital Skills & Literacy,Akko,,Documented in source index,,,,120,120,150,True,Report documented — independent verification not yet added
108,Promoting Digital Literacy and Providing Laptops to Select Teachers at Government Secondary School Akko Amada,Inganta Ilimin Dijital da Samar da Kwamfutocin Tafi-da-gidanka ga Wasu Malamai at Government Secondary School Akko Amada,Digital Skills & Literacy,Akko,,Documented in source index,,,,120,120,150,True,Report documented — independent verification not yet added
109,Promoting Digital Literacy and Providing Laptops to Select ‘Teachers at Government Girls Secondary School Kumo,Promoting Digital Literacy and Providing Laptops to Select ‘Teachers at Government Girls Secondary School Kumo,Digital Skills & Literacy,Akko,,Documented in source index,,,,121,121,151,True,Report documented — independent verification not yet added
110,Promoting Digital Literacy and Providing Laptops to Select Teachers at Government Junior Secondary School Tumu,Inganta Ilimin Dijital da Samar da Kwamfutocin Tafi-da-gidanka ga Wasu Malamai at Government Junior Secondary School Tumu,Digital Skills & Literacy,Statewide / Unspecified,,Documented in source index,,,,121,121,151,True,Report documented — independent verification not yet added
111,Promoting Digital Literacy and Providing Laptops to Select ‘Teachers at Government Day Secondary School Bam-Bam Balanga L.G.A,Promoting Digital Literacy and Providing Laptops to Select ‘Teachers at Government Day Secondary School Bam-Bam Balanga L.G.A,Digital Skills & Literacy,Balanga,,Documented in source index,,,,121,121,151,True,Report documented — independent verification not yet added
112,Promoting Digital Literacy and Providing Laptops to Select Teachers at Government Day Secondary School Filiya Shongom L.GA,Inganta Ilimin Dijital da Samar da Kwamfutocin Tafi-da-gidanka ga Wasu Malamai at Government Day Secondary School Filiya Shongom L.GA,Digital Skills & Literacy,Shongom,,Documented in source index,,,,121,121,151,True,Report documented — independent verification not yet added
113,Promoting Digital Literacy and Providing Laptops to Select Teachers at Government Science Secondary School Kaltungo,Inganta Ilimin Dijital da Samar da Kwamfutocin Tafi-da-gidanka ga Wasu Malamai at Government Science Secondary School Kaltungo,Digital Skills & Literacy,Kaltungo,,Documented in source index,,,,122,122,152,True,Report documented — independent verification not yet added
114,"Promoting Digital Literacy and Providing Laptops to Select Teachers at Government Day Secondary School Tal, Billiri L.G.A","Inganta Ilimin Dijital da Samar da Kwamfutocin Tafi-da-gidanka ga Wasu Malamai at Government Day Secondary School Tal, Billiri L.G.A",Digital Skills & Literacy,Billiri,,Documented in source index,,,,122,122,152,True,Report documented — independent verification not yet added
115,"Promoting Digital Literacy and Providing Laptops to Select Teachers at Government Secondary School Cham, Balanga L.G.A","Inganta Ilimin Dijital da Samar da Kwamfutocin Tafi-da-gidanka ga Wasu Malamai at Government Secondary School Cham, Balanga L.G.A",Digital Skills & Literacy,Balanga,,Documented in source index,,,,122,122,152,True,Report documented — independent verification not yet added
116,"Promoting Digital Literacy and Providing Laptops to Select Teachers at Government Secondary School, Todi, Billiri L.G.A","Inganta Ilimin Dijital da Samar da Kwamfutocin Tafi-da-gidanka ga Wasu Malamai at Government Secondary School, Todi, Billiri L.G.A",Digital Skills & Literacy,Billiri,,Documented in source index,,,,122,122,152,True,Report documented — independent verification not yet added
117,Promoting Digital Literacy and Providing Laptops to Imams and Pastors in Gombe State,Promoting Digital Literacy and Providing Laptops to Imams and Pastors in Gombe State,Digital Skills & Literacy,Statewide / Unspecified,,Documented in source index,,,,123,123,153,True,Report documented — independent verification not yet added
118,Wireless Internet Cloud at Federal Teaching Hospital Gombe,Wireless Internet Cloud at Federal Teaching Hospital Gombe,Broadband & Connectivity,Statewide / Unspecified,,Documented in source index,,,,126,126,156,True,Report documented — independent verification not yet added
119,Wireless Internet Cloud at Federal College of Education Gombe,Wireless Internet Cloud at Federal College of Education Gombe,Broadband & Connectivity,Statewide / Unspecified,,Documented in source index,,,,126,126,156,True,Report documented — independent verification not yet added
120,Wireless Internet Cloud at Gombe State University,Wireless Internet Cloud at Gombe State University,Broadband & Connectivity,Gombe,,Documented in source index,,,,126,126,156,True,Report documented — independent verification not yet added
121,"CBT for JAMB, Gombe State","CBT for JAMB, Gombe State",Digital Centres & Innovation,Statewide / Unspecified,,Documented in source index,,,,109,129,159,True,Report documented — independent verification not yet added
122,"CBT Centre, Gombe State","CBT Centre, Gombe State",Digital Centres & Innovation,Gombe,,Documented in source index,,,,130,130,160,True,Report documented — independent verification not yet added
123,"Computer Based Test (CBT) Computers, FCE Gombe","Computer Based Test (CBT) Computers, FCE Gombe",Digital Centres & Innovation,Statewide / Unspecified,,Documented in source index,,,,131,131,161,True,Report documented — independent verification not yet added
124,"Provision of ICT and Assistive Technologies for the Challenged Groups (E-Access) at Special School Gombe, Gombe State","Provision of ICT and Assistive Technologies for the Challenged Groups (E-Access) at Special School Gombe, Gombe State",Digital Centres & Innovation,Gombe,,Documented in source index,,,,133,133,163,True,Report documented — independent verification not yet added
125,"Advanced Digital Awareness Program for Tertiary Institutions (ADAPTI) at Federal University, Kashere, Gombe State","Babban Shirin Wayar da Kai kan Fasahar Dijital ga Makarantun Gaba da Sakandare (ADAPTI) at Federal University, Kashere, Gombe State",Digital Skills & Literacy,Akko,,Documented in source index,,,,137,137,167,True,Report documented — independent verification not yet added
126,"Advanced Digital Awareness Program for Tertiary Institutions (ADAPTI) at Federal Teaching Hospital, Gombe State","Babban Shirin Wayar da Kai kan Fasahar Dijital ga Makarantun Gaba da Sakandare (ADAPTI) at Federal Teaching Hospital, Gombe State",Digital Skills & Literacy,Gombe,,Documented in source index,,,,137,137,167,True,Report documented — independent verification not yet added
127,"Advanced Digital Awareness Program for Tertiary Institutions (ADAPTI) at College of Health and Science Technology Kaltungo, Gombe State","Babban Shirin Wayar da Kai kan Fasahar Dijital ga Makarantun Gaba da Sakandare (ADAPTI) at College of Health and Science Technology Kaltungo, Gombe State",Digital Skills & Literacy,Kaltungo,,Documented in source index,,,,137,137,167,True,Report documented — independent verification not yet added
128,"Advanced Digital Awareness Program for Tertiary Institutions (ADAPTI) at College of Education, Billiri, Gombe State","Babban Shirin Wayar da Kai kan Fasahar Dijital ga Makarantun Gaba da Sakandare (ADAPTI) at College of Education, Billiri, Gombe State",Digital Skills & Literacy,Billiri,,Documented in source index,,,,137,137,167,True,Report documented — independent verification not yet added
129,"Advanced Digital Awareness Program for Tertiary Institutions (ADAPTI) at Kaltungo Polytechnic, Kaltungo, Gombe State","Babban Shirin Wayar da Kai kan Fasahar Dijital ga Makarantun Gaba da Sakandare (ADAPTI) at Kaltungo Polytechnic, Kaltungo, Gombe State",Digital Skills & Literacy,Kaltungo,,Documented in source index,,,,138,138,168,True,Report documented — independent verification not yet added
130,"Advanced Digital Awareness Program for Tertiary Institutions (ADAPTI) at Vocational Training Centre, Gombe State","Babban Shirin Wayar da Kai kan Fasahar Dijital ga Makarantun Gaba da Sakandare (ADAPTI) at Vocational Training Centre, Gombe State",Digital Skills & Literacy,Gombe,,Documented in source index,,,,138,138,168,True,Report documented — independent verification not yet added
131,Digital Awareness Program at Gadam Comprehensive Day Secondary Sch. Gombe State,Shirin Wayar da Kai kan Fasahar Dijital at Gadam Comprehensive Day Secondary Sch. Gombe State,Digital Skills & Literacy,Statewide / Unspecified,,Documented in source index,,,,141,141,171,True,Report documented — independent verification not yet added
132,"Digital Awareness Program at Government Secondary School, Gombe, Gombe State","Shirin Wayar da Kai kan Fasahar Dijital at Government Secondary School, Gombe, Gombe State",Digital Skills & Literacy,Gombe,,Documented in source index,,,,141,141,171,True,Report documented — independent verification not yet added
133,"Digital Awareness Program at Government Day Secondary School, Billiri, Gombe State","Shirin Wayar da Kai kan Fasahar Dijital at Government Day Secondary School, Billiri, Gombe State",Digital Skills & Literacy,Billiri,,Documented in source index,,,,141,141,171,True,Report documented — independent verification not yet added
134,Digital Awareness Program atGovernmentDay,Shirin Wayar da Kai kan Fasahar Dijital atGovernmentDay,Digital Skills & Literacy,Statewide / Unspecified,,Documented in source index,,,,142,142,172,True,Report documented — independent verification not yet added
135,"Digital Awareness Program at Government Girls Senior Secondary School, Kumo, Gombe State.","Shirin Wayar da Kai kan Fasahar Dijital at Government Girls Senior Secondary School, Kumo, Gombe State.",Digital Skills & Literacy,Akko,,Documented in source index,,,,142,142,172,True,Report documented — independent verification not yet added
136,"Tertiary Institution Digital Centre, College of Education, Billiri","Tertiary Institution Digital Centre, College of Education, Billiri",Other Documented Projects,Billiri,,Documented in source index,,,,143,143,173,True,Report documented — independent verification not yet added
137,"School Knowledge Centre at Government Day Secondary School Pilot, Gombe","Cibiyar Ilimi ta Makaranta at Government Day Secondary School Pilot, Gombe",Digital Centres & Innovation,Gombe,,Documented in source index,,,,147,147,177,True,Report documented — independent verification not yet added
138,"School Knowledge Centre at Government Day Secondary Gabukka, Gombe.","Cibiyar Ilimi ta Makaranta at Government Day Secondary Gabukka, Gombe.",Digital Centres & Innovation,Gombe,,Documented in source index,,,,148,148,178,True,Report documented — independent verification not yet added
139,"School Knowledge Centre at Government Day Secondary Jekadafari, Gombe","Cibiyar Ilimi ta Makaranta at Government Day Secondary Jekadafari, Gombe",Digital Centres & Innovation,Gombe,,Documented in source index,,,,149,149,179,True,Report documented — independent verification not yet added
140,"School Knowledge Centre at Government Day Central Secondary School, Bambam Balanga Government Hassan Gombe State","Cibiyar Ilimi ta Makaranta at Government Day Central Secondary School, Bambam Balanga Government Hassan Gombe State",Digital Centres & Innovation,Balanga,,Documented in source index,,,,150,150,180,True,Report documented — independent verification not yet added
141,"School Knowledge Centre at Model Junior Secondary School Deba, Gombe State","Cibiyar Ilimi ta Makaranta at Model Junior Secondary School Deba, Gombe State",Digital Centres & Innovation,Yamaltu/Deba,,Documented in source index,,,,150,150,180,True,Report documented — independent verification not yet added
142,"School Knowledge Centre at Comprehensive Day Secondary School, Hassan Central,Gombe State","Cibiyar Ilimi ta Makaranta at Comprehensive Day Secondary School, Hassan Central,Gombe State",Digital Centres & Innovation,Gombe,,Documented in source index,,,,151,151,181,True,Report documented — independent verification not yet added
143,"School Knowledge Centre at Government Girls Sec. School, Kaltungo","Cibiyar Ilimi ta Makaranta at Government Girls Sec. School, Kaltungo",Digital Centres & Innovation,Kaltungo,,Documented in source index,,,,152,152,182,True,Report documented — independent verification not yet added
144,"School Knowledge Centre at Government Junior Secondary School, Idi","Cibiyar Ilimi ta Makaranta at Government Junior Secondary School, Idi",Digital Centres & Innovation,Statewide / Unspecified,,Documented in source index,,,,152,152,182,True,Report documented — independent verification not yet added
145,"School Knowledge Centre at Government Day Secondary Gabukka, Gombe.","Cibiyar Ilimi ta Makaranta at Government Day Secondary Gabukka, Gombe.",Digital Centres & Innovation,Gombe,,Documented in source index,,,,152,152,182,True,Report documented — independent verification not yet added
146,"School Knowledge Centre at Government Day Secondary Ahmadu Jekadafari, Gombe","Cibiyar Ilimi ta Makaranta at Government Day Secondary Ahmadu Jekadafari, Gombe",Digital Centres & Innovation,Gombe,,Documented in source index,,,,152,152,182,True,Report documented — independent verification not yet added
147,"School Knowledge Centre at Model Junior Secondary School, Deba Gombe State","Cibiyar Ilimi ta Makaranta at Model Junior Secondary School, Deba Gombe State",Digital Centres & Innovation,Yamaltu/Deba,,Documented in source index,,,,153,153,183,True,Report documented — independent verification not yet added
148,"School Knowledge Centre at Government Day Secondary School Pilot, Gombe","Cibiyar Ilimi ta Makaranta at Government Day Secondary School Pilot, Gombe",Digital Centres & Innovation,Gombe,,Documented in source index,,,,153,153,183,True,Report documented — independent verification not yet added
149,Digital Nigeria Centre at Junior Secondary School Nafada Central Gombe State,Digital Nigeria Centre at Junior Secondary School Nafada Central Gombe State,Digital Centres & Innovation,Nafada,,Documented in source index,,,,156,156,186,True,Report documented — independent verification not yet added
150,"Digital Nigeria Centre at Vocational Training Centre Gombe, Gombe State","Digital Nigeria Centre at Vocational Training Centre Gombe, Gombe State",Digital Skills & Literacy,Gombe,,Documented in source index,,,,156,156,186,True,Report documented — independent verification not yet added
151,"Digital Nigeria Centre at GSSS Gombe, Gombe State","Digital Nigeria Centre at GSSS Gombe, Gombe State",Digital Centres & Innovation,Gombe,,Documented in source index,,,,156,156,186,True,Report documented — independent verification not yet added
152,"Local Content Development at Nafada Community Secondary School, Nafada Local Government, Gombe State","Local Content Development at Nafada Community Secondary School, Nafada Local Government, Gombe State",Digital Centres & Innovation,Nafada,,Documented in source index,,,,158,158,188,True,Report documented — independent verification not yet added
153,"Local Content Development at Nafada Community Secondary School, Nafada Local Government, Gombe State","Local Content Development at Nafada Community Secondary School, Nafada Local Government, Gombe State",Digital Centres & Innovation,Nafada,,Documented in source index,,,,158,158,188,True,Report documented — independent verification not yet added
154,"Local Content Development at Government Secondary School, Tongo, Tongo Local Government, Gombe State","Local Content Development at Government Secondary School, Tongo, Tongo Local Government, Gombe State",Digital Centres & Innovation,Gombe,,Documented in source index,,,,159,159,189,True,Report documented — independent verification not yet added
155,"Local Content Development at Arqam Secondary School, Gombe Local Government, Gombe State","Local Content Development at Arqam Secondary School, Gombe Local Government, Gombe State",Digital Centres & Innovation,Gombe,,Documented in source index,,,,159,159,189,True,Report documented — independent verification not yet added
156,"Local Content Development at Nafada Community Secondary School, Nafada Local Government, Gombe State","Local Content Development at Nafada Community Secondary School, Nafada Local Government, Gombe State",Digital Centres & Innovation,Nafada,,Documented in source index,,,,159,159,189,True,Report documented — independent verification not yet added
157,"Local Content Development at Government Junior Secondary School, Dukku, Gombe State","Local Content Development at Government Junior Secondary School, Dukku, Gombe State",Digital Centres & Innovation,Dukku,,Documented in source index,,,,159,159,189,True,Report documented — independent verification not yet added
158,"School Knowledge Centre at Community Secondary Sch. Boh Shongom, Kaltungo/Shongom, Gombe State","Cibiyar Ilimi ta Makaranta at Community Secondary Sch. Boh Shongom, Kaltungo/Shongom, Gombe State",Digital Centres & Innovation,Shongom,,Documented in source index,,,,160,160,190,True,Report documented — independent verification not yet added
159,"Local Content Development at Government Secondary School Hinna, Yamaltu/Deba, Gombe State","Local Content Development at Government Secondary School Hinna, Yamaltu/Deba, Gombe State",Digital Centres & Innovation,Yamaltu/Deba,,Documented in source index,,,,160,160,190,True,Report documented — independent verification not yet added
160,"Local Content Development at Government Day Secondary School, Shehu Abubakar, Gombe, Gombe State","Local Content Development at Government Day Secondary School, Shehu Abubakar, Gombe, Gombe State",Digital Centres & Innovation,Gombe,,Documented in source index,,,,160,160,190,True,Report documented — independent verification not yet added
161,"Digital Nigeria Centre at Government Science Secondary School, Gombe, Gombe State","Digital Nigeria Centre at Government Science Secondary School, Gombe, Gombe State",Digital Centres & Innovation,Gombe,,Documented in source index,,,,160,160,190,True,Report documented — independent verification not yet added
162,"Rural Broadband Initiative (RUBI) Project at Kaltungo, Kaltungo LGA, Gombe State","Aikin Faɗaɗa Intanet a Yankunan Karkara (RUBI) at Kaltungo, Kaltungo LGA, Gombe State",Broadband & Connectivity,Kaltungo,,Documented in source index,,,,162,162,192,True,Report documented — independent verification not yet added
163,"Rural Broadband Initiative (RUBI) Project at Pantami, Pantami LGA, Gombe State","Aikin Faɗaɗa Intanet a Yankunan Karkara (RUBI) at Pantami, Pantami LGA, Gombe State",Broadband & Connectivity,Gombe,,Documented in source index,,,,162,162,192,True,Report documented — independent verification not yet added
164,"Rural Broadband Initiative (RUBI) Project at Gombe, Gombe LGA, Gombe State","Aikin Faɗaɗa Intanet a Yankunan Karkara (RUBI) at Gombe, Gombe LGA, Gombe State",Broadband & Connectivity,Statewide / Unspecified,,Documented in source index,,,,163,163,193,True,Report documented — independent verification not yet added
165,"Rural Broadband Initiative (RUBI) Project at Bajoga, Bajoga LGA, Gombe State","Aikin Faɗaɗa Intanet a Yankunan Karkara (RUBI) at Bajoga, Bajoga LGA, Gombe State",Broadband & Connectivity,Funakaye,,Documented in source index,,,,163,163,193,True,Report documented — independent verification not yet added
166,Base Transceiver Stations (2022 Projects) across Different Locations in Gombe State and Local Government Areas,Base Transceiver Stations (2022 Projects) across Different Locations in Gombe State and Local Government Areas,Broadband & Connectivity,Statewide / Unspecified,,Documented in source index,,,,165,165,195,True,Report documented — independent verification not yet added
167,Base Transceiver Stations (2021 Projects) across Different Locations in Gombe State and Local Government Areas,Base Transceiver Stations (2021 Projects) across Different Locations in Gombe State and Local Government Areas,Broadband & Connectivity,Statewide / Unspecified,,Documented in source index,,,,165,165,195,True,Report documented — independent verification not yet added
168,Emerging Technology Centre at Gombe State,Emerging Technology Centre at Gombe State,Digital Centres & Innovation,Statewide / Unspecified,,Documented in source index,,,,167,167,197,True,Report documented — independent verification not yet added
169,"Emerging Technology Centre at Government SCIENCE Secondary school, Gombe","Emerging Technology Centre at Government SCIENCE Secondary school, Gombe",Digital Centres & Innovation,Gombe,,Documented in source index,,,,167,167,197,True,Report documented — independent verification not yet added
170,"Campus Connectivity Network at Government SCIENCE Secondary School, Gombe","Campus Connectivity Network at Government SCIENCE Secondary School, Gombe",Broadband & Connectivity,Gombe,,Documented in source index,,,,169,169,199,True,Report documented — independent verification not yet added
171,"Campus Connectivity Network at Gombe State University, Gombe","Campus Connectivity Network at Gombe State University, Gombe",Broadband & Connectivity,Gombe,,Documented in source index,,,,169,169,199,True,Report documented — independent verification not yet added
172,Campus Connectivity Network at Gombe State Polytechnic Bajoga,Campus Connectivity Network at Gombe State Polytechnic Bajoga,Broadband & Connectivity,Funakaye,,Documented in source index,,,,170,170,200,True,Report documented — independent verification not yet added
173,VSAT Skills Acquisition and Youth Empowerment (100 Youth) in Gombe State,VSAT Skills Acquisition and Youth Empowerment (100 Youth) in Gombe State,Broadband & Connectivity,Statewide / Unspecified,,Documented in source index,,,,171,171,201,True,Report documented — independent verification not yet added
174,Rehabilitation of Main Post Office Building at Gombe State,Rehabilitation of Main Post Office Building at Gombe State,Other Documented Projects,Statewide / Unspecified,,Documented in source index,,,,172,172,202,True,Report documented — independent verification not yet added
175,Upgrading of International Postal System (IPS) Gombe State,Upgrading of International Postal System (IPS) Gombe State,Public Infrastructure & Services,Statewide / Unspecified,,Documented in source index,,,,173,173,203,True,Report documented — independent verification not yet added
176,Address Authentication System Gombe State,Address Authentication System Gombe State,Public Infrastructure & Services,Statewide / Unspecified,,Documented in source index,,,,173,173,203,True,Report documented — independent verification not yet added
177,"Rollout & launch of the NIMC Android Enrolment Software, Gombe State","Rollout & launch of the NIMC Android Enrolment Software, Gombe State",Public Infrastructure & Services,Statewide / Unspecified,,Documented in source index,,,,173,173,203,True,Report documented — independent verification not yet added
178,"Active Enrolment Centers (ERCs) and Enrolment Devices Increased, Gombe State","Active Enrolment Centers (ERCs) and Enrolment Devices Increased, Gombe State",Public Infrastructure & Services,Gombe,,Documented in source index,,,,173,173,203,True,Report documented — independent verification not yet added
179,"Front-End Partners (FEPs) Employment Opportunities, Gombe State","Front-End Partners (FEPs) Employment Opportunities, Gombe State",Jobs & Empowerment,Statewide / Unspecified,,Documented in source index,,,,174,174,204,True,Report documented — independent verification not yet added
180,E-Health 2019 Project at General Hospital Kashere Gombe State,E-Health 2019 Project at General Hospital Kashere Gombe State,Health,Akko,,Documented in source index,,,,174,174,204,True,Report documented — independent verification not yet added
181,ICT Capacity Building for Members of Civil Society and Youths Conducted in Gombe State,ICT Capacity Building for Members of Civil Society and Youths Conducted in Gombe State,Digital Skills & Literacy,Statewide / Unspecified,,Documented in source index,,,,174,174,204,True,Report documented — independent verification not yet added
182,Artisan Training on GSM Repairs for Youths in Gombe State (200 Participants),Artisan Training on GSM Repairs for Youths in Gombe State (200 Participants),Digital Skills & Literacy,Statewide / Unspecified,,Documented in source index,,,,175,175,205,True,Report documented — independent verification not yet added
183,"Capacity Building Workshop on Women ICT Entrepreneurship (for 100 Participants), Gombe State","Capacity Building Workshop on Women ICT Entrepreneurship (for 100 Participants), Gombe State",Digital Skills & Literacy,Statewide / Unspecified,,Documented in source index,,,,175,175,205,True,Report documented — independent verification not yet added
184,"ICT Training for Persons with Disabilities (for 100 Participants), Gombe State","ICT Training for Persons with Disabilities (for 100 Participants), Gombe State",Digital Skills & Literacy,Statewide / Unspecified,,Documented in source index,,,,176,176,206,True,Report documented — independent verification not yet added
185,Digital job creation in Gombe State.,Digital job creation in Gombe State.,Jobs & Empowerment,Statewide / Unspecified,,Documented in source index,,,,176,176,206,True,Report documented — independent verification not yet added
186,"Digital Job creation for youth in the North-East Zone, Gombe state","Digital Job creation for youth in the North-East Zone, Gombe state",Jobs & Empowerment,Statewide / Unspecified,,Documented in source index,,,,177,177,207,True,Report documented — independent verification not yet added
187,School Renovation CSR by Airtel at Pantami,School Renovation CSR by Airtel at Pantami,Education & Devices,Gombe,,Documented in source index,,,,178,178,208,True,Report documented — independent verification not yet added
188,Hospital Building Project at Pantami,Hospital Building Project at Pantami,Health,Gombe,,Documented in source index,,,,183,183,213,True,Report documented — independent verification not yet added
189,"Hospital Building Project at Malala, DukkuLGA","Hospital Building Project at Malala, DukkuLGA",Health,Dukku,,Documented in source index,,,,184,184,214,True,Report documented — independent verification not yet added
190,Distribution of 100 Computers to Religious Leaders Part I,Distribution of 100 Computers to Religious Leaders Part I,Education & Devices,Statewide / Unspecified,,Documented in source index,,,,185,185,215,True,Report documented — independent verification not yet added
191,Distribution of 100 Computers to Religious Leaders Part II,Distribution of 100 Computers to Religious Leaders Part II,Education & Devices,Statewide / Unspecified,,Documented in source index,,,,185,185,215,True,Report documented — independent verification not yet added
192,One Month Software Development Training at Gombe State University,One Month Software Development Training at Gombe State University,Digital Skills & Literacy,Gombe,,Documented in source index,,,,185,185,215,True,Report documented — independent verification not yet added
193,Donation of 60 HP Laptops to Gombe State University,Donation of 60 HP Laptops to Gombe State University,Education & Devices,Gombe,,Documented in source index,,,,186,186,216,True,Report documented — independent verification not yet added
194,Purchase of Transformers for Gombe Main Market,Purchase of Transformers for Gombe Main Market,Public Infrastructure & Services,Gombe,,Documented in source index,,,,186,186,216,True,Report documented — independent verification not yet added
195,Automation Support for Digitalisation at Federal Teaching Hospital Gombe,Automation Support for Digitalisation at Federal Teaching Hospital Gombe,Health,Statewide / Unspecified,,Documented in source index,,,,187,187,217,True,Report documented — independent verification not yet added
196,Donation of 100 e-Tablets to Federal Teaching Hospital Gombe,Donation of 100 e-Tablets to Federal Teaching Hospital Gombe,Education & Devices,Statewide / Unspecified,,Documented in source index,,,,187,187,217,True,Report documented — independent verification not yet added
197,"Supply, Installation and Configuration of 115 units of E-Pad at Gombe State University","Supply, Installation and Configuration of 115 units of E-Pad at Gombe State University",Education & Devices,Gombe,,Documented in source index,,,,187,187,217,True,Report documented — independent verification not yet added
198,Pantami Primary School Gombe,Pantami Primary School Gombe,Education & Devices,Gombe,,Documented in source index,,,,188,188,218,True,Report documented — independent verification not yet added
199,"Digital Awareness Program at Government Day Secondary School, Talasse, Balanga Gombe State","Shirin Wayar da Kai kan Fasahar Dijital at Government Day Secondary School, Talasse, Balanga Gombe State",Digital Skills & Literacy,Balanga,,Documented in source index,,,,188,188,218,True,Report documented — independent verification not yet added
200,"Internally Displaced Persons (IDP), ICT Skills Acquisition & Training for IDPs in Federal Teaching Collage, (FCE), Gombe","Internally Displaced Persons (IDP), ICT Skills Acquisition & Training for IDPs in Federal Teaching Collage, (FCE), Gombe",Digital Skills & Literacy,Statewide / Unspecified,,Documented in source index,,,,188,188,218,True,Report documented — independent verification not yet added
201,Flag Off of Kolmani Integrated Development Project,Flag Off of Kolmani Integrated Development Project,Other Documented Projects,Statewide / Unspecified,,Documented in source index,,,,189,189,219,True,Report documented — independent verification not yet added
